milestone_id,project_id,milestone_name,sequence,planned_date,actual_date,status,delay_days,dependency_type
PRJ-SYN-000001-M-01,PRJ-SYN-000001,Feasibility Study & Detailed Project Report (DPR) Approval,1,2022-06-29,2022-09-12,COMPLETED,75,ADMINISTRATIVE
PRJ-SYN-000001-M-02,PRJ-SYN-000001,Statutory Environmental & Forest Clearance Stage-I,2,2022-12-31,2023-05-15,COMPLETED,135,STATUTORY
PRJ-SYN-000001-M-03,PRJ-SYN-000001,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2023-07-05,2024-01-05,COMPLETED,184,LAND_ACQUISITION
PRJ-SYN-000001-M-04,PRJ-SYN-000001,"EPC Tendering, Technical Evaluation & Contract Award",4,2024-01-06,2024-09-15,COMPLETED,253,PROCUREMENT
PRJ-SYN-000001-M-05,PRJ-SYN-000001,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2024-08-16,2025-06-25,COMPLETED,313,RIGHT_OF_WAY
PRJ-SYN-000001-M-06,PRJ-SYN-000001,"Major Substructure, Earthwork & Foundation Works (50%)",6,2025-05-21,2026-05-31,COMPLETED,375,CIVIL_WORKS
PRJ-SYN-000001-M-07,PRJ-SYN-000001,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2026-02-23,,DELAYED,780,CIVIL_WORKS
PRJ-SYN-000001-M-08,PRJ-SYN-000001,"Equipment Installation, Signaling & Substation Integration",8,2026-08-27,,NOT_STARTED,0,SYSTEMS_EQUIPMENT
PRJ-SYN-000001-M-09,PRJ-SYN-000001,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2026-12-16,,NOT_STARTED,0,STATUTORY_INSPECTION
PRJ-SYN-000001-M-10,PRJ-SYN-000001,"Final Trial Runs, COD Commercial Operation & Handover",10,2027-03-01,,NOT_STARTED,0,COMMISSIONING
PRJ-SYN-000002-M-01,PRJ-SYN-000002,Feasibility Study & Detailed Project Report (DPR) Approval,1,2024-01-23,2024-03-06,COMPLETED,43,ADMINISTRATIVE
PRJ-SYN-000002-M-02,PRJ-SYN-000002,Statutory Environmental & Forest Clearance Stage-I,2,2024-06-14,2024-09-09,COMPLETED,87,STATUTORY
PRJ-SYN-000002-M-03,PRJ-SYN-000002,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2024-11-04,2025-03-11,COMPLETED,127,LAND_ACQUISITION
PRJ-SYN-000002-M-04,PRJ-SYN-000002,"EPC Tendering, Technical Evaluation & Contract Award",4,2025-03-27,2025-09-15,COMPLETED,172,PROCUREMENT
PRJ-SYN-000002-M-05,PRJ-SYN-000002,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2025-09-15,,DELAYED,540,RIGHT_OF_WAY
PRJ-SYN-000002-M-06,PRJ-SYN-000002,"Major Substructure, Earthwork & Foundation Works (50%)",6,2026-04-18,,NOT_STARTED,0,CIVIL_WORKS
PRJ-SYN-000002-M-07,PRJ-SYN-000002,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2026-11-18,,NOT_STARTED,0,CIVIL_WORKS
PRJ-SYN-000002-M-08,PRJ-SYN-000002,"Equipment Installation, Signaling & Substation Integration",8,2027-04-10,,NOT_STARTED,0,SYSTEMS_EQUIPMENT
PRJ-SYN-000002-M-09,PRJ-SYN-000002,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2027-07-05,,NOT_STARTED,0,STATUTORY_INSPECTION
PRJ-SYN-000002-M-10,PRJ-SYN-000002,"Final Trial Runs, COD Commercial Operation & Handover",10,2027-09-01,,NOT_STARTED,0,COMMISSIONING
PRJ-SYN-000003-M-01,PRJ-SYN-000003,Feasibility Study & Detailed Project Report (DPR) Approval,1,2018-06-03,2018-06-23,COMPLETED,20,ADMINISTRATIVE
PRJ-SYN-000003-M-02,PRJ-SYN-000003,Statutory Environmental & Forest Clearance Stage-I,2,2018-08-21,2018-10-07,COMPLETED,47,STATUTORY
PRJ-SYN-000003-M-03,PRJ-SYN-000003,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2018-11-08,2019-02-05,COMPLETED,89,LAND_ACQUISITION
PRJ-SYN-000003-M-04,PRJ-SYN-000003,"EPC Tendering, Technical Evaluation & Contract Award",4,2019-01-26,2019-05-16,COMPLETED,110,PROCUREMENT
PRJ-SYN-000003-M-05,PRJ-SYN-000003,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2019-05-02,2019-09-21,COMPLETED,142,RIGHT_OF_WAY
PRJ-SYN-000003-M-06,PRJ-SYN-000003,"Major Substructure, Earthwork & Foundation Works (50%)",6,2019-08-28,2020-02-05,COMPLETED,161,CIVIL_WORKS
PRJ-SYN-000003-M-07,PRJ-SYN-000003,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2019-12-25,2020-07-04,COMPLETED,192,CIVIL_WORKS
PRJ-SYN-000003-M-08,PRJ-SYN-000003,"Equipment Installation, Signaling & Substation Integration",8,2020-03-13,2020-10-12,COMPLETED,213,SYSTEMS_EQUIPMENT
